feature,value,abs_value,type
ret_5,0.10998729005732573,0.10998729005732573,importance
vol_chg_1,0.10495407440137924,0.10495407440137924,importance
ma_10_ratio,0.10369111864002428,0.10369111864002428,importance
vol_5,0.09822199882488951,0.09822199882488951,importance
vol_ratio_5,0.09476790882295194,0.09476790882295194,importance
oc_return,0.09455691431842748,0.09455691431842748,importance
hl_range,0.09228578107523094,0.09228578107523094,importance
ret_3,0.08218940493330988,0.08218940493330988,importance
ma_5_ratio,0.07737059733001372,0.07737059733001372,importance
vol_10,0.0716436514980226,0.0716436514980226,importance
ret_1,0.0703312600984247,0.0703312600984247,importance
