feature,value,abs_value,type
ma_5_ratio,0.19219926734963969,0.19219926734963969,coefficient
ret_5,0.14827689714675352,0.14827689714675352,coefficient
ret_3,-0.11776071530993863,0.11776071530993863,coefficient
ma_10_ratio,-0.11276576787589772,0.11276576787589772,coefficient
ret_1,-0.10355372243146013,0.10355372243146013,coefficient
vol_10,-0.07823304348017154,0.07823304348017154,coefficient
oc_return,-0.055747751644435975,0.055747751644435975,coefficient
vol_chg_1,-0.03940388448254083,0.03940388448254083,coefficient
vol_5,0.027136385737704525,0.027136385737704525,coefficient
vol_ratio_5,0.02041621111155292,0.02041621111155292,coefficient
hl_range,0.00642916547182497,0.00642916547182497,coefficient
