feature,value,abs_value,type
ret_5,0.10843944286791765,0.10843944286791765,importance
ma_10_ratio,0.09558658111380446,0.09558658111380446,importance
ret_1,0.09490275200387926,0.09490275200387926,importance
oc_return,0.09203405967225677,0.09203405967225677,importance
ma_5_ratio,0.09086079530281822,0.09086079530281822,importance
vol_ratio_5,0.09037218029307417,0.09037218029307417,importance
hl_range,0.08795672847468518,0.08795672847468518,importance
vol_5,0.08730335668396465,0.08730335668396465,importance
ret_3,0.08562078050240704,0.08562078050240704,importance
vol_chg_1,0.08406850341894273,0.08406850341894273,importance
vol_10,0.08285481966624984,0.08285481966624984,importance
