train_start,train_end,test_start,test_end,accuracy,precision,recall,f1,roc_auc
2010-01-19,2013-01-17,2013-01-18,2013-04-19,0.47619047619047616,0.4375,0.7777777777777778,0.56,0.4619341563786008
2010-04-20,2013-04-19,2013-04-22,2013-07-19,0.5238095238095238,0.5254237288135594,0.9393939393939394,0.6739130434782609,0.5202020202020202
2010-07-20,2013-07-19,2013-07-22,2013-10-17,0.5238095238095238,0.5714285714285714,0.8421052631578947,0.6808510638297872,0.511578947368421
2010-10-18,2013-10-17,2013-10-18,2014-01-17,0.4603174603174603,0.4603174603174603,1.0,0.6304347826086957,0.3549695740365112
2011-01-18,2014-01-17,2014-01-21,2014-04-21,0.5238095238095238,0.5344827586206896,0.9117647058823529,0.6739130434782609,0.5512170385395537
2011-04-18,2014-04-21,2014-04-22,2014-07-21,0.5396825396825397,0.559322033898305,0.9166666666666666,0.6947368421052632,0.45627572016460904
2011-07-19,2014-07-21,2014-07-22,2014-10-17,0.5555555555555556,0.5483870967741935,1.0,0.7083333333333334,0.5933062880324543
2011-10-17,2014-10-17,2014-10-20,2015-01-20,0.49206349206349204,0.5084745762711864,0.9090909090909091,0.6521739130434783,0.5292929292929294
2012-01-18,2015-01-20,2015-01-21,2015-04-21,0.5238095238095238,0.5660377358490566,0.8108108108108109,0.6666666666666666,0.4698544698544699
2012-04-18,2015-04-21,2015-04-22,2015-07-21,0.4603174603174603,0.43859649122807015,0.9259259259259259,0.5952380952380952,0.5360082304526748
2012-07-18,2015-07-21,2015-07-22,2015-10-19,0.5079365079365079,0.5,0.6774193548387096,0.5753424657534246,0.576108870967742
2012-10-16,2015-10-19,2015-10-20,2016-01-20,0.36507936507936506,0.35294117647058826,0.72,0.47368421052631576,0.48052631578947375
2013-01-18,2016-01-20,2016-01-21,2016-04-20,0.5238095238095238,0.6,0.5675675675675675,0.5833333333333334,0.49688149688149685
2013-04-22,2016-04-20,2016-04-21,2016-07-20,0.5396825396825397,0.5254237288135594,0.96875,0.6813186813186813,0.5226814516129032
2013-07-22,2016-07-20,2016-07-21,2016-10-18,0.4444444444444444,0.4827586206896552,0.8484848484848485,0.6153846153846154,0.6015151515151514
2013-10-18,2016-10-18,2016-10-19,2017-01-19,0.5714285714285714,0.5517241379310345,0.9696969696969697,0.7032967032967034,0.36717171717171715
2014-01-21,2017-01-19,2017-01-20,2017-04-20,0.5555555555555556,0.5645161290322581,0.9722222222222222,0.7142857142857143,0.4619341563786008
2014-04-22,2017-04-20,2017-04-21,2017-07-20,0.5555555555555556,0.5614035087719298,0.9142857142857143,0.6956521739130435,0.5928571428571427
2014-07-22,2017-07-20,2017-07-21,2017-10-18,0.5238095238095238,0.532258064516129,0.9705882352941176,0.6875,0.5588235294117646
2014-10-20,2017-10-18,2017-10-19,2018-01-19,0.4603174603174603,0.4827586206896552,0.875,0.6222222222222222,0.5453629032258065
2015-01-21,2018-01-19,2018-01-22,2018-04-20,0.4444444444444444,0.4489795918367347,0.7333333333333333,0.5569620253164557,0.5676767676767677
2015-04-22,2018-04-20,2018-04-23,2018-07-20,0.49206349206349204,0.5106382978723404,0.7272727272727273,0.6,0.4888888888888889
